time="2020-08-28 15:36:22" level=info msg="| 200 |      3.0081ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 15:36:30" level=info msg="| 200 |      1.9746ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 15:36:45" level=info msg="| 200 |      2.0053ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 15:37:21" level=info msg="| 200 |      2.0067ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 15:37:25" level=info msg="| 200 |      2.5202ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 15:37:41" level=info msg="| 200 |      2.0445ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 15:38:36" level=info msg="| 400 |            0s |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:08:41" level=info msg="| 200 |      4.0344ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:10:06" level=info msg="| 200 |      3.0079ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:12:26" level=info msg="| 200 |      3.0072ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:27:32" level=info msg="| 200 |      4.0325ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:29:38" level=info msg="| 200 |      3.0085ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:30:40" level=info msg="| 200 |      4.0107ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:35:23" level=info msg="| 400 |            0s |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:51:29" level=info msg="| 404 |            0s |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 16:51:40" level=info msg="| 400 |      1.0022ms |       127.0.0.1 | POST | /api/email/add |"
time="2020-08-28 16:51:50" level=info msg="| 200 |      4.0094ms |       127.0.0.1 | POST | /api/email/add |"
time="2020-08-28 16:57:56" level=info msg="| 200 |      4.0106ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 16:58:32" level=info msg="| 200 |      3.0072ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 16:58:44" level=info msg="| 200 |       2.005ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 16:59:02" level=info msg="| 200 |      2.0054ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 16:59:19" level=info msg="| 200 |      1.9813ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 16:59:30" level=info msg="| 200 |      1.9781ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 16:59:31" level=info msg="| 200 |      3.0091ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 17:00:15" level=info msg="| 200 |      3.0094ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 17:00:16" level=info msg="| 200 |      5.0141ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 17:00:16" level=info msg="| 200 |      3.0079ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 17:00:26" level=info msg="| 200 |      3.0322ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 17:00:35" level=info msg="| 200 |      2.0325ms |       127.0.0.1 | POST | /api/email/upd |"
time="2020-08-28 17:20:41" level=info msg="| 200 |      3.5098ms |       127.0.0.1 | POST | /api/email/delete |"
time="2020-08-28 17:20:47" level=info msg="| 200 |      2.5061ms |       127.0.0.1 | POST | /api/email/delete |"
time="2020-08-28 17:20:52" level=info msg="| 200 |      2.5074ms |       127.0.0.1 | POST | /api/email/delete |"
time="2020-08-28 17:20:58" level=info msg="| 200 |       2.005ms |       127.0.0.1 | POST | /api/email/delete |"
time="2020-08-28 17:21:40" level=info msg="| 200 |      2.5064ms |       127.0.0.1 | POST | /api/email/create |"
time="2020-08-28 17:22:15" level=info msg="| 200 |      2.0294ms |       127.0.0.1 | POST | /api/email/update |"
